Article #,Valence,Hopes,Fears,Fear 2,Frame,Credibility,Detail,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,2: Leaning negative ,Tedium,"Creative, educational",,"LLMs in Education, Existing issues with LLMs",Cites academic researchers,No explanation,
266,5: Uniformly Strongly Positive,"Technology, sentience",Cybersecurity,,Hype about ChatGPT,Cites industry leaders,Some layperson explanation,
267,3: Neutral,"Business, employment",None,,"China, International Politics & Competition",No citations,No explanation,
268,2: Leaning negative ,Education,"Education, creativity",,"LLMs in Education, Existing issues with LLMs",Cites industry professionals,No explanation,
269,3: Neutral,"Business, employment",None,,"China, International Politics & Competition",Cites industry professionals,No explanation,
270,4: Leaning positive,Education,None,,LLMs in Education,no citations,No explanation,
271,3: Neutral,"Education, business","Education, creativity",,LLMs in Education,Cites academic researchers,No explanation,
272,5: Uniformly Strongly Positive,"Business, technology",None,,LLMs in the workplace,Cites industry professionals,No explanation,
273,,,,,,,No explanation,"6 pages, come back to this one"
274,4: Leaning positive,"Personal utility, efficiency","Bias, disinformation",,Limitations of LLMs,No citations,No explanation,
275,3: Neutral,"Business, entertainment","Disinformation, employment",,"LLMs in business, LLMs in concent creation",No citations,No explanation,
276,2: Leaning negative ,"Business, technology","Business, disinformation",,"China, International Politics & Competition",No citations,No explanation,
277,4: Leaning positive,"Education, creativity","Education, disinformation",,LLMs in education,Cites academic researchers,Some layperson explanation,
278,2: Leaning negative ,Personal utility,"Disinformation, bias",,Existing issues with LLMs,No citations,No explanation,
279,4: Leaning positive,"Business, efficiency, programming, personal utility",None,,"LLMs in business, LLMs as products",No citations,No explanation,
280,,,,,,,,
281,4: Leaning positive,Business,None,,LLMs in business,No citations,No explanation,
282,2: Leaning negative ,"Programming, creativity, personal utility, science","Bias, discrimination, disinformation",,Existing issues with LLMs,No citations,No explanation,
283,3: Neutral,"Personal utility, business","Disinformation, bias",,LLMs in business,No citations,No explanation,
284,,,,,,,,Skipping for now
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,2: Leaning negative ,None,"Education, Creativity",,LLMs in Education,No citations,No explanation,
398,2: Leaning negative ,"Entertainment, education","Existential, education, discrimination, cybersecurity",,Future of LLMs,Cites industry leaders,No explanation,
399,3: Neutral,None,None,,"China, International Politics & Competition",None,Some layperson explanation,
400,2: Leaning negative ,Education,"Education, Creativity",,LLMs in Education,None,No explanation,
401,3: Neutral,"Education, Business","Education, Business",,LLMs in business,None,No explanation,
402,3: Neutral,Business,Business,,"China, International Politics & Competition",None,No explanation,
403,4: Leaning positive,Business,None,,LLMs in business,None,No explanation,
404,1: Uniformly Strongly Negative,None,"Bias, Discrimination",,Existing issues with LLMs,"Cites industry professionals, Cites academic researchers",Some layperson explanation,
405,1: Uniformly Strongly Negative,None,"Bias, Discrimination",,Existing issues with LLMs,None,No explanation,
406,3: Neutral,None,None,,"China, International Politics & Competition",None,No explanation,
407,2: Leaning negative ,"Tedium, Entertainment","Disinformation, Cybersecurity",,Existing issues with LLMs,Cites industry leaders,No explanation,
408,2: Leaning negative ,None,"Disinformation, Privacy, Business",,LLMs in the workplace,None,No explanation,
409,3: Neutral,"Technology, personal utility","Disinformation, Bias",,Future of LLMs,"Cites industry leaders, cites industry professionals",Moderate layperson explanation,
410,1: Uniformly Strongly Negative,None,"Bias, Discrimination",,Existing issues with LLMs,None,No explanation,
411,1: Uniformly Strongly Negative,None,"Disinformation, cybersecurity, existential",,Existing issues with LLMs,Cites academic researchers,Detailed layperson explanation,
412,3: Neutral,None,None,,Limitations of LLMs,None,No explanation,
413,3: Neutral,Efficiency,"Employment, bias, discrimination, cybersecurity, creativity, privacy, existential",,Explanations of LLMs,None,Some layperson explanation,
414,2: Leaning negative ,"Efficiency, personal utility","Existential, cybersecurity, disinformation, influence",,Existing issues with LLMs,Cites industry leaders,Moderate layperson explanation,
415,1: Uniformly Strongly Negative,None,"Bias, Discrimination",,Existing issues with LLMs,Cites industry leaders,No explanation,
416,3: Neutral,None,"Education, disinformation",,Future of LLMs,None,No explanation,
417,3: Neutral,None,"Bias, Discrimination, disinformation",,"China, International Politics & Competition",Cites industry professionals,Moderate layperson explanation,
418,2: Leaning negative ,None,"Disinformation, existential",,Explanations of LLMs,Cites academic researchers,Academic/expert explanation,
419,1: Uniformly Strongly Negative,None,"Ethical, disinformation, bias, discrimination",,Limitations of LLMs,Cites academic researchers,Academic/expert explanation,
420,3: Neutral,Efficiency,Disinformation,,Future of LLMs,None,Some layperson explanation,
421,2: Leaning negative ,None,"Education, Existential, Creativity",,LLMs in content creation,None,No explanation,
422,3: Neutral,Efficiency,Disinformation,,LLMs in the workplace,Cites industry leaders,Detailed layperson explanation,
423,,,,,,,,
424,,,,,,,,
425,,,,,,,,
426,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,,,,,,,,
435,,,,,,,,
436,,,,,,,,
437,,,,,,,,
438,,,,,,,,
439,,,,,,,,
440,,,,,,,,
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,,,,,,,,
446,,,,,,,,
447,,,,,,,,
448,,,,,,,,
449,,,,,,,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,,,,,,,,
459,,,,,,,,
460,,,,,,,,
461,,,,,,,,
462,,,,,,,,
463,,,,,,,,
464,,,,,,,,
465,,,,,,,,
466,,,,,,,,
467,,,,,,,,
468,,,,,,,,
469,,,,,,,,
470,,,,,,,,
471,,,,,,,,
472,,,,,,,,
473,,,,,,,,
474,,,,,,,,
475,,,,,,,,
476,,,,,,,,
477,,,,,,,,
478,,,,,,,,
479,,,,,,,,
480,,,,,,,,
481,,,,,,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,,
485,,,,,,,,
486,,,,,,,,
487,,,,,,,,
488,,,,,,,,
489,,,,,,,,
490,,,,,,,,
491,,,,,,,,
492,,,,,,,,
493,,,,,,,,
494,,,,,,,,
495,,,,,,,,
496,,,,,,,,
497,,,,,,,,
498,,,,,,,,
499,,,,,,,,
500,,,,,,,,
501,,,,,,,,
502,,,,,,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,,,,,
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,,,,,
513,,,,,,,,
514,,,,,,,,
515,,,,,,,,
516,,,,,,,,
517,,,,,,,,
518,,,,,,,,
519,,,,,,,,
520,,,,,,,,
521,,,,,,,,
522,,,,,,,,
523,,,,,,,,
524,,,,,,,,
525,,,,,,,,
526,,,,,,,,
527,,,,,,,,
528,3: Neutral,"Creativity, Education, Business, Tedium","Bias, discrimination, disinformation, employment, education, privacy",,"Explanation, limitations",No citations (one tweet by Sam Altman),Detailed layperson explanation,
529,2: Leaning negative ,None,"Disinformation, creativity, education",,Content creation,No citations,Moderate layperson explanation,
530,1: Uniformly Strongly Negative,None,"Existential, politics, education, employment",,"Future, International politics",Cites academic researchers,No explanation,
531,1: Uniformly Strongly Negative,None,"Bias, politics, disinformation, discrimination",,Issues,"Cites academic researchers, cites aindustry professionals",Some layperson explanation,
532,5: Uniformly Strongly Positive,"Programming, business, tedium",Disinformation,,Products,No citations,No explanation,
533,2: Leaning negative ,"Business, programming, tedium","Disinformation, ill-intent",,Limitations,Cites journalists,No explanation,
534,2: Leaning negative ,None,"Disinformation, bias, politics",,Issues,Cites industry leaders,No explanation,
535,2: Leaning negative ,"Business, tedium, programming","Disinformation, trustworthiness, business, professional",,Business,No citations,No explanation,
536,2: Leaning negative ,"Creativity, education","Disinformation, bias, discrimination, ethical",,Issues,Cites industry professionals,Some layperson explanation,
537,2: Leaning negative ,Science,"Disinformation, bias",,Issues,Cites academic researchers,Some layperson explanation,
538,2: Leaning negative ,Creativity,Disinformation,,"Explanation, limitations",No citations,Moderate layperson explanation,
539,4: Leaning positive,"Business, tedium, science, education","Disinformation, ethical",,Future,No citations,No explanation,
540,1: Uniformly Strongly Negative,None,"Existential, sentience",,Limitations,No citations,No explanation,
541,2: Leaning negative ,"Tedium, safety, efficiency, business","Existential, employment, bias, discrimination, disinformation, trustworthiness, cybersecurity, dependence, privacy, regulation, ethical",,First contact,No citations,Some layperson explanation,
542,2: Leaning negative ,"Entertainment, knowledge","Disinformation, trustworthiness",,Issues,Cites academic researchers,No explanation,
543,1: Uniformly Strongly Negative,None,"Disinformation, sentience",,Issues,Cites Reddit users,No explanation,
544,2: Leaning negative ,"Efficiency, business","Disinformation, bias, discrimination, ethical",,Issues,Cites academic researchers,Some layperson explanation,
545,2: Leaning negative ,"Creativity, business, legal","Education, creativity",,"Future, limitations","Cites academic researchers, cites journalists",No explanation,
546,4: Leaning positive,"Creativity, efficiency, business, legal, education, entertainment","Employment, programming, professional",,Future,Cites academic researchers,Some layperson explanation,
547,5: Uniformly Strongly Positive,Business,None,,"China, International Politics, Business","Cites industry professionals, cites industry leaders",No explanation,
548,1: Uniformly Strongly Negative,None,"Bias, discrimination, politics, existential",,Issues,"Cites academic researchers, cites journalists",No explanation,
549,3: Neutral,Technology,"Disinformation, education, discrimination",,Regulation,Cites journalists,No explanation,
550,3: Neutral,"Entertainment, education","Disinformation, education, trustworthiness",,"Issues, Products",Cites academic researchers,No explanation,
551,4: Leaning positive,"Entertainment, creativity",None,,Products,No citations,No explanation,
552,4: Leaning positive,"Entertainment, technology, productivity, business",None,,Products,No citations,No explanation,
553,5: Uniformly Strongly Positive,"Business, programming, creativity, efficiency, education","Employment, education, ",,"Future, business",Cites academic researchers,No explanation,
554,3: Neutral,Education,"Education, bias",,Education,Cites industry professionals,No explanation,
555,5: Uniformly Strongly Positive,"Business, technology, creativity, education, etnertainment, programming","Disinformation, bias",,Products,No citations,No explanation,
556,4: Leaning positive,"Education, programming, legal, business","Education, employment",,"Education, business",Cites academic researchers,Some layperson explanation,
557,,,,,,,,
558,,,,,,,,
559,,,,,,,,
560,,,,,,,,
561,,,,,,,,
562,,,,,,,,
563,,,,,,,,
564,,,,,,,,
565,,,,,,,,
566,,,,,,,,
567,,,,,,,,
568,,,,,,,,
569,,,,,,,,
570,,,,,,,,
571,,,,,,,,
572,,,,,,,,
573,,,,,,,,
574,,,,,,,,
575,,,,,,,,
576,,,,,,,,
577,,,,,,,,
578,,,,,,,,
579,,,,,,,,
580,,,,,,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,,,,
584,,,,,,,,
585,,,,,,,,
586,,,,,,,,
587,,,,,,,,
588,,,,,,,,
589,,,,,,,,
590,,,,,,,,
591,,,,,,,,
592,,,,,,,,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,,,
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,,,,,
606,,,,,,,,
607,,,,,,,,
608,,,,,,,,
609,,,,,,,,
610,,,,,,,,
611,,,,,,,,
612,,,,,,,,
613,,,,,,,,
614,,,,,,,,
615,,,,,,,,
616,,,,,,,,
617,,,,,,,,
618,,,,,,,,
619,,,,,,,,
620,,,,,,,,
621,,,,,,,,
622,,,,,,,,
623,,,,,,,,
624,,,,,,,,
625,,,,,,,,
626,,,,,,,,
627,,,,,,,,
628,,,,,,,,
629,,,,,,,,
630,,,,,,,,
631,,,,,,,,
632,,,,,,,,
633,,,,,,,,
634,,,,,,,,
635,,,,,,,,
636,,,,,,,,
637,,,,,,,,
638,,,,,,,,
639,,,,,,,,
640,,,,,,,,
641,,,,,,,,
642,,,,,,,,
643,,,,,,,,
644,,,,,,,,
645,,,,,,,,
646,,,,,,,,
647,,,,,,,,
648,,,,,,,,
649,,,,,,,,
650,,,,,,,,
651,,,,,,,,
652,,,,,,,,
653,,,,,,,,
654,,,,,,,,
655,,,,,,,,
656,,,,,,,,
657,,,,,,,,
658,,,,,,,,
659,,,,,,,,
660,,,,,,,,
661,,,,,,,,
662,,,,,,,,
663,,,,,,,,
664,,,,,,,,
665,,,,,,,,
666,,,,,,,,
667,,,,,,,,
668,,,,,,,,
669,,,,,,,,
670,,,,,,,,
671,,,,,,,,
672,,,,,,,,
673,,,,,,,,
674,,,,,,,,
675,,,,,,,,
676,,,,,,,,
677,,,,,,,,
678,,,,,,,,
679,,,,,,,,
680,,,,,,,,
681,,,,,,,,
682,,,,,,,,
683,,,,,,,,
684,,,,,,,,
685,,,,,,,,
686,,,,,,,,
687,,,,,,,,
688,,,,,,,,
689,,,,,,,,
690,,,,,,,,
691,,,,,,,,
692,,,,,,,,
693,,,,,,,,
694,,,,,,,,
695,,,,,,,,
696,,,,,,,,
697,,,,,,,,
698,,,,,,,,
699,,,,,,,,
700,,,,,,,,
701,,,,,,,,
702,,,,,,,,
703,,,,,,,,
704,,,,,,,,
705,,,,,,,,
706,,,,,,,,
707,,,,,,,,
708,,,,,,,,
709,,,,,,,,
710,,,,,,,,
711,,,,,,,,
712,,,,,,,,
713,,,,,,,,
714,,,,,,,,
715,,,,,,,,
716,,,,,,,,
717,,,,,,,,
718,,,,,,,,
719,,,,,,,,
720,,,,,,,,
721,,,,,,,,
722,,,,,,,,
723,,,,,,,,
724,,,,,,,,
725,,,,,,,,
726,,,,,,,,
727,,,,,,,,
728,,,,,,,,
729,,,,,,,,
730,,,,,,,,
731,,,,,,,,
732,,,,,,,,
733,,,,,,,,
734,,,,,,,,
735,,,,,,,,
736,,,,,,,,
737,,,,,,,,
738,,,,,,,,
739,,,,,,,,
740,,,,,,,,
741,,,,,,,,
742,,,,,,,,
743,,,,,,,,
744,,,,,,,,
745,,,,,,,,
746,,,,,,,,
747,,,,,,,,
748,,,,,,,,
749,,,,,,,,
750,,,,,,,,
751,,,,,,,,
752,,,,,,,,
753,,,,,,,,
754,,,,,,,,
755,,,,,,,,
756,,,,,,,,
757,,,,,,,,
758,,,,,,,,
759,,,,,,,,
760,,,,,,,,
761,,,,,,,,
762,,,,,,,,
763,,,,,,,,
764,,,,,,,,
765,,,,,,,,
766,,,,,,,,
767,,,,,,,,
768,,,,,,,,
769,,,,,,,,
770,,,,,,,,
771,,,,,,,,
772,,,,,,,,
773,,,,,,,,
774,,,,,,,,
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,,,,,,,,
779,,,,,,,,
780,,,,,,,,
781,,,,,,,,
782,,,,,,,,
783,,,,,,,,
784,,,,,,,,
785,,,,,,,,
786,,,,,,,,
787,,,,,,,,
788,,,,,,,,
789,,,,,,,,
790,,,,,,,,
791,,,,,,,,
792,,,,,,,,
793,,,,,,,,
794,,,,,,,,
795,,,,,,,,
796,,,,,,,,
797,,,,,,,,
798,,,,,,,,
799,,,,,,,,
800,,,,,,,,
801,,,,,,,,
802,,,,,,,,
803,,,,,,,,
804,,,,,,,,
805,,,,,,,,
806,,,,,,,,
807,,,,,,,,
808,,,,,,,,
809,,,,,,,,
810,,,,,,,,
811,,,,,,,,
812,,,,,,,,
813,,,,,,,,
814,,,,,,,,
815,,,,,,,,
816,,,,,,,,
817,,,,,,,,
818,,,,,,,,
819,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,,,,
824,,,,,,,,
825,,,,,,,,
826,,,,,,,,
827,,,,,,,,
828,,,,,,,,
829,,,,,,,,
830,,,,,,,,
831,,,,,,,,
832,,,,,,,,
833,,,,,,,,
834,,,,,,,,
835,,,,,,,,
836,,,,,,,,
837,,,,,,,,
838,,,,,,,,
839,,,,,,,,
840,,,,,,,,
841,,,,,,,,
842,,,,,,,,
843,,,,,,,,
844,,,,,,,,
845,,,,,,,,
846,,,,,,,,
847,,,,,,,,
848,,,,,,,,
849,,,,,,,,
850,,,,,,,,
851,,,,,,,,
852,,,,,,,,
853,,,,,,,,
854,,,,,,,,
855,,,,,,,,
856,,,,,,,,
857,,,,,,,,
858,,,,,,,,
859,,,,,,,,
860,,,,,,,,
861,,,,,,,,
862,,,,,,,,
863,,,,,,,,
864,,,,,,,,
865,,,,,,,,
866,,,,,,,,
867,,,,,,,,
868,,,,,,,,
869,,,,,,,,
870,,,,,,,,
871,,,,,,,,
872,,,,,,,,
873,,,,,,,,
874,,,,,,,,
875,,,,,,,,
876,,,,,,,,
877,,,,,,,,
878,,,,,,,,
879,,,,,,,,
880,,,,,,,,
881,,,,,,,,
882,,,,,,,,
883,,,,,,,,
884,,,,,,,,
885,,,,,,,,
886,,,,,,,,
887,,,,,,,,
888,,,,,,,,
889,,,,,,,,
890,,,,,,,,
891,,,,,,,,
892,,,,,,,,
893,,,,,,,,
894,,,,,,,,
895,,,,,,,,
896,,,,,,,,
897,,,,,,,,
898,,,,,,,,
899,,,,,,,,
