TITLE,LINK,COMMENTS
Baidu’s ChatGPT-Style Bot Will Be No Magic Bullet,https://www.wsj.com/articles/baidus-chatgpt-style-chatbot-will-be-no-magic-bullet-d26706e8?page=2,WSJ
ChatGPT Isn’t Writing Super Bowl Ad Campaigns—Yet,https://www.wsj.com/livecoverage/super-bowl-2023-chiefs-eagles/card/chatgpt-isn-t-writing-super-bowl-ad-campaigns-yet-F7rZjLCLFktmUtRcogLx?page=3,WSJ
,,WSJ
Is Xi Jinping a Good Leader? China’s AI Chatbots Won’t Tell You,https://www.wsj.com/articles/when-chatbots-run-up-against-chinas-censorship-f7ee1cea?page=1,WSJ
"Lay Off Chatbots. They Have (Artificial) Feelings, Too.",https://www.wsj.com/articles/lay-off-chatbots-they-have-artificial-feelings-too-2ba079b2?page=1,WSJ
Don’t Trust an AI Chatbot With All Your Travel Plans Just Yet,https://www.wsj.com/articles/ai-chat-gpt-bing-travel-flights-hotels-b717148e?page=1,WSJ
Opinion: The George Santos AI Chatbots,https://www.wsj.com/articles/the-george-santos-chatbots-bing-chatgpt-metaverses-adversaries-war-disinformation-twitter-files-lies-8e94b360?page=3,WSJ
Microsoft Caps New Bing Usage After AI Chatbot Offered Unhinged Responses,https://www.wsj.com/articles/microsoft-puts-caps-on-new-bing-usage-after-ai-chatbot-offered-unhinged-responses-39c3252f?page=3,WSJ
Microsoft Defends New Bing After AI Chatbot Offers Unhinged Responses,https://www.wsj.com/articles/microsoft-defends-new-bing-says-ai-upgrade-is-work-in-progress-3447074d?page=3,WSJ
I Entered a Pun Competition. My Jokes Were Written by an AI Chatbot.,https://www.wsj.com/articles/chatgpt-ai-chatbot-punderdome-jokes-11670602696?page=6,WSJ
Can You Tell a Real Tweet From One Written By an AI Chatbot?,https://www.wsj.com/articles/chatgpt-twitter-quiz-ai-openai-11670511559?page=6,WSJ
How AI That Powers Chatbots and Search Queries Could Discover New Drugs,https://www.wsj.com/articles/how-ai-that-powers-chatbots-and-search-queries-could-discover-new-drugs-11670428795?page=6,WSJ
Chatbots May Be Better When It Comes to Giving Consumers Bad News,https://www.wsj.com/articles/chatbots-may-be-better-when-it-comes-to-giving-consumers-bad-news-11649347200?page=8,WSJ
