TITLE,LINK,COMMENTS
Perspective | Using ChatGPT for disinformation and other news literacy lessons,https://www.washingtonpost.com/education/2023/02/02/chatgpt-disinformation-news-literacy-lessons/,Washington post
Can ChatGPT help me at the office? We put the AI chatbot to the test.,https://www.washingtonpost.com/technology/2023/02/02/chatgpt-work-ai-uses/,Washington post
Big Tech was moving cautiously on AI. Then came ChatGPT.,https://www.washingtonpost.com/technology/2023/01/27/chatgpt-google-meta/,Washington post
"Analysis | Yes, ChatGPT can write malicious code — but not well",https://www.washingtonpost.com/politics/2023/01/26/yes-chatgpt-can-write-malware-code-not-well/,Washington post
Analysis | ChatGPT is now writing legislation. Is this the future?,https://www.washingtonpost.com/politics/2023/01/23/chatgpt-is-now-writing-legislation-is-this-future/,Washington post
ChatGPT could make life easier. Here’s when it’s worth it.,https://www.washingtonpost.com/technology/2023/01/18/chatgpt-personal-use/,Washington post
Analysis | Is ChatGPT an Eloquent Robot or a Misinformation Machine?,https://www.washingtonpost.com/business/is-chatgpt-aneloquent-robot-or-a-misinformation-machine/2023/01/12/05da34a6-92c8-11ed-90f8-53661ac5d9b9_story.html,Washington post
New York City blocks use of the ChatGPT bot in its schools,https://www.washingtonpost.com/education/2023/01/05/nyc-schools-ban-chatgpt/,Washington post
Opinion | Here’s how teachers can foil ChatGPT: Handwritten essays,https://www.washingtonpost.com/opinions/2022/12/29/handwritten-essays-defeat-chatgpt/,"Washington post, Opinion"
Teachers are on alert for inevitable cheating after release of ChatGPT,https://www.washingtonpost.com/education/2022/12/28/chatbot-cheating-ai-chatbotgpt-teachers/,Washington post
"What is ChatGPT, the viral social media AI?",https://www.washingtonpost.com/technology/2022/12/06/what-is-chatgpt-ai/,Washington post
Human or ChatGPT? AI is getting good.,https://www.washingtonpost.com/video/technology/human-or-chatgpt-ai-is-getting-good/2023/02/02/3eef452c-09d0-4ad1-a62f-8282d9274b05_video.html,Washington post
"The Tech Behind Those Amazing, Flawed New Chatbots ",https://www.washingtonpost.com/business/2023/03/15/the-tech-behind-those-amazing-flawed-new-chatbots-quicktake/24210aca-c342-11ed-82a7-6a87555c1878_story.html,Washington post
AI chatbots may have a liability problem,https://www.washingtonpost.com/politics/2023/03/01/ai-chatbots-may-have-liability-problem/,Washington post
"So far, AI chatbots’ great talent is flooding inboxes",https://www.washingtonpost.com/opinions/2023/02/27/ai-chatbots-fiction-nonfiction-writing/,"Washington post, Opinion"
Windows 11 update brings Bing’s chatbot to the desktop,https://www.washingtonpost.com/technology/2023/02/28/bing-ai-chatbot-windows-11-features/,Washington post
"Ernie, what is censorship? China’s chatbots face additional challenges.",https://www.washingtonpost.com/world/2023/02/24/china-baidu-ernie-chatbot-chatgpt/,Washington post
Microsoft flip-flops on reining in Bing AI chatbot,https://www.washingtonpost.com/technology/2023/02/21/microsoft-bing-ai-chatbot/,Washington post
Microsoft brings Bing chatbot to phones after curbing quirks,https://www.washingtonpost.com/business/microsoft-brings-bing-chatbot-to-phones-after-curbing-quirks/2023/02/22/15a957d2-b2b1-11ed-94a0-512954d75716_story.html,Washington post
"After AI chatbot goes a bit loopy, Microsoft tightens its leash",https://www.washingtonpost.com/technology/2023/02/18/microsoft-bing-chatbot/,Washington post
Microsoft’s AI chatbot is going off the rails,https://www.washingtonpost.com/technology/2023/02/16/microsoft-bing-ai-chatbot-sydney/,Washington post
Is Bing too belligerent? Microsoft looks to tame AI chatbot,https://www.washingtonpost.com/business/is-bing-too-belligerent-microsoft-looks-to-tame-ai-chatbot/2023/02/16/10b0cdaa-ae42-11ed-b0ba-9f4244c6e5da_story.html,Washington post
"Review | Trying Microsoft’s new AI chatbot search engine, some answers are uh-oh",https://www.washingtonpost.com/technology/2023/02/07/microsoft-bing-chatgpt/,Washington post
Google fires back at rivals with plans for chatbots in search,https://www.washingtonpost.com/technology/2023/02/06/google-bard-chatbot/,Washington post
"AI chatbot mimics anyone in history — but gets a lot wrong, experts say",https://www.washingtonpost.com/nation/2023/01/31/ai-gpt-chatbot-historical-figures/,Washington post
,,
"Note: I included any article written since ChatGPT's release with the words ""ChatGPT"" or ""Chatbot"" in its title. Other articles written before ChatGPT's release are excluded.",,
