Titles,Addresses,Tags
"At This School, Computer Science Class Now Includes Critiquing Chatbots",https://www.nytimes.com/2023/02/06/technology/chatgpt-schools-teachers-ai-ethics.html,NYT
How ChatGPT Kicked Off an A.I. Arms Race,https://www.nytimes.com/2023/02/03/technology/chatgpt-openai-artificial-intelligence.html,NYT
OpenAI to Offer New Version of ChatGPT for a $20 Monthly Fee,https://www.nytimes.com/2023/02/01/technology/openai-chatgpt-plus-subscription.html,NYT
A.I. Bots Can’t Report This Column. But They Can Improve It.,https://www.nytimes.com/2023/02/01/technology/personaltech/chatgpt-ai-bots-editing.html,NYT
How Will Chatbots Change Education?,https://www.nytimes.com/2023/01/28/opinion/letters/chatbots-education.html,"NYT, Opinion, Letters"
A.I.: Actually Insipid Until It’s Actively Insidious,https://www.nytimes.com/2023/01/28/opinion/chatgpt-ai-technology.html,"NYT, Opinion"
OMG! What Will Happen When A.I. Makes BuzzFeed Quizzes?,https://www.nytimes.com/2023/01/27/style/buzzfeed-quiz-ai-chatgpt.html,NYT
"Anthropic, an A.I. Start-Up, Is Said to Be Close to Adding $300 Million",https://www.nytimes.com/2023/01/27/technology/anthropic-ai-funding.html,Borderline off-topic
ChatGPT Wrote (Most of) This Letter,https://www.nytimes.com/2023/01/24/opinion/letters/democracy-chatbot.html,"NYT, Opinion, Letters"
"Microsoft to Invest $10 Billion in OpenAI, the Creator of ChatGPT",https://www.nytimes.com/2023/01/23/business/microsoft-chatgpt-artificial-intelligence.html,NYT
I’m a Congressman Who Codes. A.I. Freaks Me Out.,https://www.nytimes.com/2023/01/23/opinion/ted-lieu-ai-chatgpt-congress.html,"NYT, Opinion, Guest Essay"
How Smart Are the Robots Getting?,https://www.nytimes.com/2023/01/20/technology/chatbots-turing-test.html,NYT
Google Calls In Help From Larry Page and Sergey Brin for A.I. Fight,https://www.nytimes.com/2023/01/20/technology/google-chatgpt-artificial-intelligence.html,NYT
How ChatGPT Hijacks Democracy,https://www.nytimes.com/2023/01/15/opinion/ai-chatgpt-lobbying-democracy.html,NYT
Microsoft Bets Big on the Creator of ChatGPT in Race to Dominate A.I.,https://www.nytimes.com/2023/01/12/technology/microsoft-openai-chatgpt.html,NYT
Don’t Ban ChatGPT in Schools. Teach With It.,https://www.nytimes.com/2023/01/12/technology/chatgpt-schools-teachers.html,NYT
A.I. Is Becoming More Conversational. But Will It Get More Honest?,https://www.nytimes.com/2023/01/10/science/character-ai-chatbot-intelligence.html,NYT
"A New Area of A.I. Booms, Even Amid the Tech Gloom",https://www.nytimes.com/2023/01/07/technology/generative-ai-chatgpt-investments.html,NYT
The 2022 Good Tech Awards,https://www.nytimes.com/2022/12/29/technology/good-tech-awards-2022.html,"NYT, Discusses other tech"
The Tech That Will Invade Our Lives in 2023,https://www.nytimes.com/2022/12/29/technology/personaltech/new-tech-2023-ai-chat-vr.html,"NYT, Discusses other tech"
Did a Fourth Grader Write This? Or the New Chatbot?,https://www.nytimes.com/interactive/2022/12/26/upshot/chatgpt-child-essays.html,NYT
How to Use ChatGPT and Still Be a Good Person,https://www.nytimes.com/2022/12/21/technology/personaltech/how-to-use-chatgpt-ethically.html,NYT
A New Chat Bot Is a ‘Code Red’ for Google’s Search Business,https://www.nytimes.com/2022/12/21/technology/ai-chatgpt-google-search.html,NYT
Human This Christmas,https://www.nytimes.com/2022/12/20/opinion/chatgpt-writing-ai.html,"NYT, Opinion"
My So-So Encounters with ChatGPT,https://www.nytimes.com/2022/12/16/opinion/chatgpt-artificial-intelligence-skill-job.html,NYT
ChatGPT Has a Devastating Sense of Humor,https://www.nytimes.com/2022/12/16/opinion/conversation-with-chatgpt.html,"NYT, Opinion"
Will ChatGPT Make Me Irrelevant?,https://www.nytimes.com/2022/12/15/opinion/chatgpt-artificial-intelligence.html,"NYT, Opinion"
What Would Plato Say About ChatGPT?,https://www.nytimes.com/2022/12/15/opinion/chatgpt-education-ai-technology.html,"NYT, Opinion"
The New Chatbots Could Change the World. Can You Trust Them?,https://www.nytimes.com/2022/12/10/technology/ai-chat-bot-chatgpt.html,NYT
Does ChatGPT Mean Robots Are Coming For the Skilled Jobs?,https://www.nytimes.com/2022/12/06/opinion/chatgpt-ai-skilled-jobs-automation.html,NYT
The Brilliance and Weirdness of ChatGPT,https://www.nytimes.com/2022/12/05/technology/chatgpt-ai-twitter.html,NYT
What Students Are Saying About ChatGPT,https://www.nytimes.com/2023/02/02/learning/students-chatgpt.html,NYT
